,Domestic,Industrial and Commercial,Transport,Total
Hillingdon,0.2164058401922056,0.2943885165224883,0.4892056432853061,1.0
Westminster,0.17362049518920067,0.70840650899812,0.11797299581267869,1.0
Barnet,0.4893779365704213,0.20105461311328943,0.30956745031628913,1.0
Ealing,0.4023928645461929,0.3556980969699773,0.24190903848382977,1.0
Tower Hamlets,0.2230122215912689,0.6181463386204042,0.15884143978832724,1.0
Camden,0.2539989563273045,0.6025510313367697,0.14345001233592802,1.0
Enfield,0.40000320600882827,0.25790631614768983,0.3420904778434842,1.0
Croydon,0.525712021895729,0.24722853428387698,0.22705944382039403,1.0
Newham,0.2997129276461173,0.5069331206242221,0.19335395172966127,1.0
Hounslow,0.32540016921628745,0.32914144582292637,0.3454583849607885,1.0
Brent,0.4298260684655408,0.35104983750545943,0.21912409402900146,1.0
Bromley,0.5493913412039854,0.18365801986335006,0.2669506389326636,1.0
Southwark,0.34924603332595733,0.4819721729832887,0.16878179369075477,1.0
Havering,0.4015845348958829,0.1723201062761472,0.4260953588279704,1.0
Lambeth,0.4353094130174534,0.3815455799858022,0.18314500699674274,1.0
Wandsworth,0.4945821854873334,0.3048180984976103,0.20059971601505713,1.0
Bexley,0.3991266954833992,0.351225536810452,0.24964776770614705,1.0
Kensington and Chelsea,0.33498508568484453,0.527104512089236,0.13791040222591755,1.0
Greenwich,0.4116318240328373,0.3075960761761789,0.2807720997909853,1.0
Redbridge,0.5214763809793462,0.17085893875328179,0.3076646802673729,1.0
Islington,0.37352162456369803,0.48277845713201084,0.14369991830428927,1.0
Haringey,0.5129975516515943,0.2950063079772924,0.1919961403711125,1.0
Hammersmith and Fulham,0.37437247200051926,0.4507256026901939,0.17490192530928567,1.0
Lewisham,0.556606703373558,0.21658875058940041,0.22680454603704264,1.0
City of London,0.01950241041499267,0.9139171885328577,0.06658040105214925,1.0
Waltham Forest,0.5080373725707791,0.25262511870287374,0.23933750872634635,1.0
Harrow,0.6028117152755773,0.16887524011199395,0.228313044612426,1.0
Richmond,0.5084374961793876,0.23504730267981017,0.2565152011407992,1.0
Hackney,0.4550595266262757,0.3686650461866922,0.176275427187034,1.0
Merton,0.48090240762251785,0.2962439961859173,0.22285359619156214,1.0
Sutton,0.5116912692012475,0.3043817243892575,0.1839270064094959,1.0
Barking and Dagenham,0.4213607285626577,0.31187201769229783,0.2667672537450436,1.0
Kingston,0.47361006179911663,0.26540632621333454,0.260983611987547,1.0
