,Electricity,Gas,Coal,Oil,Bioenergy and waste*
Barking and Dagenham,317182160.793,225220660.499047,2710411.2847108,160422258.854421,14900957.9388458
Barnet,455140596.253196,500391751.029532,5789109.08182998,142849951.671031,22752706.6915725
Bexley,395034590.217,683659751.810796,4832355.4080685,113685255.427503,45964078.1525036
Brent,737475511.569001,552278113.246728,6280894.89724297,202476515.515372,42581939.2511523
Bromley,342913912.596,324157433.191441,3352747.0465582,138096422.140915,14036767.5951028
Camden,1168908406.163,1361569288.55959,6573579.29652093,306446949.972353,17770001.5812772
City of London,1621608629.445,683507530.337595,3893311.85170635,149958907.46456,10408919.2372153
Croydon,582342771.764,500028414.019305,3204218.5299013,101769135.345863,17271110.4943169
Ealing,898426244.991,670476105.417771,7171166.03556014,177712678.903136,34768701.6764257
Enfield,501089365.458,518921820.083413,12737375.3794878,147782217.635909,22147372.614518
Greenwich,431779659.258,480592135.686958,4106238.82835796,106524890.822991,24562552.1106863
Hackney,516106225.229,356749526.284908,3311746.58645714,93828605.1707157,10903931.3127522
Hammersmith and Fulham,613483565.014,547839273.417601,2370611.49488382,118554206.444916,8316006.39456222
Haringey,407400938.523,377175865.310219,3323083.78880212,82711974.9793536,15253382.8736383
Harrow,193588041.84,221838478.574212,2356873.57591695,70172126.5063379,7201462.35480351
Havering,357576664.533,205675840.754766,6742855.14800052,116958184.309871,30547947.0799205
Hillingdon,1181211929.358,631240873.077979,12350703.8907818,487846249.876392,76473915.8164915
Hounslow,807881335.071,513495026.028265,6687252.31002329,112934303.15944,9368858.47860191
Islington,682788534.085,630218790.494739,3619682.41606866,112648113.909221,10886122.7543078
Kensington and Chelsea,884360286.328951,835904259.791095,1231215.52354911,69266814.1484548,2543031.41428894
Kingston,286606108.571805,222378103.127377,1318770.87919707,69542893.3075933,4521013.25509687
Lambeth,563662809.490097,786693500.5947,3276289.54454254,122979553.29374,11375793.7584526
Lewisham,265690393.552,359415991.239178,2163152.99947394,53957595.7354496,7602165.1976362
Merton,424577289.179,280858079.077382,1521145.45928717,82746654.3658297,11285547.2545255
Newham,944871714.626,1085456198.47525,5180246.8653583,150777400.161804,173321343.86128
Redbridge,230642322.729,230994104.620118,4922538.55930125,94619314.248645,24847763.9459164
Richmond,282282251.022,265955124.01632,3881772.23306877,64935184.4445072,20149020.6354339
Southwark,845295060.929,914677393.896739,4373760.19854821,135223430.470548,16769826.5419663
Sutton,334698242.033,268150668.644835,7589359.48292082,67565966.7568044,39657542.8758051
Tower Hamlets,2005794695.043,816884574.866628,3670918.39734958,122451904.575521,11943788.0181025
Waltham Forest,298583118.241,293480068.782237,3551881.77319673,82112570.2118983,15789162.7595107
Wandsworth,468300296.461,631127250.511257,2496239.17916978,86938921.6508618,10184822.0034074
Westminster,2723638170.5652,2322711949.13621,9148807.28294463,460780977.234619,12747730.5702621
