,Electricity,Gas,Coal,Oil,Bioenergy and waste*
Barking and Dagenham,234504494.468999,663570714.021085,2016778.60358744,2578319.19615551,4087289.47573544
Barnet,579949855.519995,1887362208.03294,3343930.28715281,8614562.50055768,4939303.60056138
Bexley,326670192.163999,1027855719.89396,2138767.41660783,6023050.99544768,5015779.20071972
Brent,398528481.561102,1340074499.73503,1452148.22859899,5135667.10514569,3405540.02334991
Bromley,483931618.779995,1712315411.50283,7242415.02585032,13761394.9333757,6995337.50840483
Camden,313051237.775003,829799135.530957,406096.593167425,9559096.56522798,952377.354660347
City of London,25630129.926,25825338.6786241,5888.79565995662,346576.648693566,13810.4945500785
Croydon,530559509.668006,1771474867.84256,13436961.635721,8826165.40644947,7341446.89012337
Ealing,443528822.413192,1444668144.74256,2001783.81009392,6474163.65141559,4694544.563145
Enfield,433897753.213003,1358339493.64655,3517259.393213,6275136.939051,6442047.41881781
Greenwich,344627319.865002,971836061.908706,1567335.04487823,4709032.76175736,3634765.21725215
Hackney,316896538.658003,842855932.472018,899770.655794595,3071976.62399381,1833995.56814838
Hammersmith and Fulham,263104849.367002,758945774.108409,631830.864737938,3715042.32350133,1481774.98456996
Haringey,328381424.822002,1084431983.18416,1170069.85701102,3125991.61627138,2744042.8045622
Harrow,319158983.068,1243437706.03844,1887976.94097951,5417236.22871687,3358502.91838598
Havering,350926161.511004,1138771711.23918,2684286.84502164,7613637.07075454,5351887.90098841
Hillingdon,391889449.651194,1256690180.23272,9294737.98378059,9187786.832771,12331813.2321191
Hounslow,356626295.270998,1024291614.22682,1488550.42995608,7097439.14398693,3490890.69754988
Islington,282269420.434002,768330224.15083,412387.464872201,3216929.91289439,967135.092185621
Kensington and Chelsea,322155431.917001,777767717.622923,373891.233307126,8187974.06895723,876855.384751654
Kingston,236081580.905001,756758452.065443,1195984.46743025,3381456.35103867,2496915.59978572
Lambeth,396324384.657001,1171179945.19176,1138397.69544123,6135935.62087049,2669757.164983
Lewisham,372631421.922999,1131412800.30756,1562081.80156645,4115974.27870426,3663361.78923385
Merton,283808207.028002,922865284.130855,1633419.466072,4428105.37662366,3830663.14125143
Newham,362105769.760061,951188840.797476,1772823.73437231,1890293.06499455,4131973.93066618
Redbridge,358643183.375782,1255490886.8871,1840632.75040407,4780409.44809287,4029748.63144762
Richmond,298603075.058003,1012645277.09509,1154237.54596645,6466433.20291582,2706856.93144146
Southwark,408623707.563904,892745476.488971,814120.140867813,8434333.72589502,1909260.38039844
Sutton,287107895.205999,879567884.72981,1261804.65025009,5134838.29717273,2959123.73038735
Tower Hamlets,411085680.915999,611275899.534087,377227.11105715,4600398.49609854,884671.061862368
Waltham Forest,310906976.182,1015197636.72372,1890358.8613566,2973169.29995878,3955212.36126693
Wandsworth,460720825.739,1298706538.42906,1252875.34681415,5678414.54883763,2938231.99080632
Westminster,451029229.165005,853525697.691297,284487.313841381,11957175.6841778,667180.632212322
